text,title,href
 Python全栈开发――数据分析 重点讲解数据分析的全过程，即数据搜集、数据清洗、数据分析和数据可视化!配套400个示例源代码，理论知识与实战开发并重,同时汇集了数据搜集、数据清洗、数据分析和数据可视化的相关技术，并且对数据分析中的每个过程均进行了详尽、深入地讲解，并搭配多个实用性极强的示例代码，生动的阐述了每项技术的核心奥秘。 各章节衔接紧密，且内容精炼不拖沓，读者只需按照作者的编排思路循序渐进的学习，相信可以在较短的时间内轻松掌握数据分析的全过程。,//product.dangdang.com/29543946.html
 Python极客项目编程（第2版） 15个趣味Python编程项目，从做中学，掌握更实用的Python编程技能（含AI语音识别）,Python以其简洁的语法、强大的功能、较低的学习门槛而受到广大编程爱好者的喜爱。但是，学习完Python的基础语法和编程知识后，如何提升Python编程技能呢？ 本书通过15个有趣且富有创造性的编程项目，教你用Python生成图像和音乐、模拟现实世界中的现象，并与树莓派等硬件进行交互。 本书项目涵盖绘画、图像处理、3D渲染、树莓派、物联网、AI机器学习等，讲解众多实用的Python库：NumPy、Matplotlib、scipy、PyAudio、Pillow、sqlite3、turtle、math、argparse、OpenGL、tensorflow ● 使用海龟绘图法绘制复杂的分形图案和繁花曲线； ● 模拟弹拨乐器的声音生成音乐； ● 设计引人入胜的元胞自动机并实现群体行为模拟； ● 实现二维和三维空间中的康威生命游戏； ● 将普通图像转换为文本图形、照片马赛克和令人惊叹的裸眼立体画； ● 探索3D图形，从基本的形状渲染到,//product.dangdang.com/29745937.html
 Python编程三剑客：Python编程从入门到实践*2版+Python编程快速上手*2版+Pyth ,空,//product.dangdang.com/1829977648.html
 Python和Dask数据科学 详尽介绍使用Dask进行数据准备、数据清理、探索性数据分析和数据可视化，使用Dask进行机器学习。,《Python和Dask数据科学》详尽介绍使用Dask进行数据准备、数据清理、探索性数据分析和数据可视化，*后介绍使用Dask进行机器学习。通过提供真实的数据、丰富的案例，帮助读者尽快了解和掌握Dask的用法。每个知识点都提供了相应的代码段，帮助读者通过实践强化对知识的理解。每章的开头和结尾对该章的主要内容进行概括和总结。 《Python和Dask数据科学》还提供了示例代码和数据集的下载地址。可以在论坛里对《Python和Dask数据科学》发表评论，提出技术问题，从作者和其他用户那里得到帮助和提高。《Python和Dask数据科学》是迄今为止*详尽介绍使用Dask进行数据科学工作的书籍。,//product.dangdang.com/28998663.html
 Python面向对象程序设计基础 团购优惠，咨询在线客服,空,//product.dangdang.com/11253969734.html
 Python程序设计 ,基于Python*版本，Python 3.6 + PyCharm 2019 + 计算思维,//product.dangdang.com/1678892565.html
 Python Django Web从入门到项目实战（视频版） ,空,//product.dangdang.com/683094622.html
 Python语言及其应用(第2版) python编程入门教程自学书籍 语言程序设计编程入门零基础自学 ,空,//product.dangdang.com/11129847864.html
 Python***技(运用Python成为*黑客)/安全技术大系~~本书将作为“神话――信息安全人才颠覆行动”学员学习用 Xcon&神话行动创始人呆神、Keenteam陈良、鹰总cnhawk、知道创宇技术副总裁余弦、长亭科技首席安全研究员杨坤联合推荐！,关于Python的书虽然已有不少，但从安全从业者角度全方位剖析Python的书籍几乎没有，《Python*技：运用Python成为**黑客》填补了这个的空白：包含了渗透测试、Web分析、网络分析、取证分析以及利用无线设备等方面的Python攻防方法。 无论你是从事安全研究的哪个方向，书中的大量深入浅出的案例分析均可以让你掌握有用的技能，快速上手编写代码，在工作中事半功倍，拓展视野、培养和锻炼自己的黑客思维。,//product.dangdang.com/1296419961.html
" Python项目开发案例集锦 明日科技(MingRiSoft)著,明日科技 编 吉林大学出版社【达额立减】 正版图书，下单前请先咨询客服，欢迎选购！",空,//product.dangdang.com/11737476570.html
 Python自动化办公与RPA从入门到实战 官方正版,空,//product.dangdang.com/11744774417.html
 Python机器学习实战 人工智能入门教程书籍周志华西瓜书机器学习深度学习框架实战方法基础算法基础教 ,用简单易学的示例，带你驶入机器学习的快车道,//product.dangdang.com/1883323690.html
 Python学习手册（原书第5版） （美）马克・卢茨（Mark Lutz） O'Reilly精品图书系列 官方正版,空,//product.dangdang.com/11744836627.html
 Effective Python：编写好Python的90个有效方法（第2版 英文版） Python编程实用参考书，Google软件工程师作品，更新至Python3.8，新增31条新的实用建议，助你顺利进阶Python编程高手。,Python编程进阶一定要读的书 Google的Principal Software Engineer――Brett latkin撰写 基于Python3.8，新增31条建议 掌握Pythonic编程方式，写出高质量代码 进阶到编程高手的程序员修炼之道和代码整洁之道,//product.dangdang.com/29700777.html
 Python机器学习技术：模型关系管理 用案例学Python数据分析 数据挖掘 机器学习 深度学习 模型关系管理 AI人工智能 作者多年项目经验总结 大数据技术和流程的梳理应用,空,//product.dangdang.com/29516944.html
 Python数据分析与应用 企业真实项目案例 源代码等相关学习资源 大数据 数据分析 数据挖掘 高职 ,资深大数据专家张良均领衔畅销书作者团队，长江学者特聘教授张军倾力，全部采用企业真实项目案例，提供源代码等相关学习资源。,//product.dangdang.com/1391410797.html
 Python机器学习入门 人工智能入门教程机器学习人工神经网络入门与实战python编程实战方法基础 ,用Python编程入门人工智能 动手编程实现图像特征检测、人脸识别、手写数字识别等应用 从零起步，完成初级人工智能编程,//product.dangdang.com/1815742778.html
 Python数学编程 Python编程从入门到实践 Python基础教程 Python数据分析数据科 官方正版 出版社直发,有趣、生动、实用，高中生也能看得懂的Python编程书，美国亚马逊青少年学计算机编程畅销书，通过编程来探究代数、统计、几何、概率、微积分等数学主题,//product.dangdang.com/1562049235.html
 Python Web开发基础教程（Django版）（微课版） ,"Python Web开发入门教材,针对Python 3,全面介绍Python框架Django",//product.dangdang.com/1560050865.html
 Python机器学习编程与实战 ,资深大数据专家张良均领衔畅销书作者团队，提供源代码等相关学习资源，帮助读者真正理解与消化Python机器学习编程与实战。,//product.dangdang.com/1670243225.html
 Python金融大数据分析 第二2版 金融数据科学算法交易量化金融计算入门书籍 金融科技计算机 ,详细讲解使用Python分析处理金融大数据的专业图书，将人工智能应用于金融开发的实战指南，金融应用开发领域从业人员的读物,//product.dangdang.com/1583787465.html
 Python Web开发 测试驱动方法 珀西瓦尔 人民邮电出版社 珀西瓦尔 人民邮电出版社【正版书籍】 正版图书，下单前请先咨询客服，欢迎选购！,本书手把手教你从头开始开发一个真正的Web应用，并且展示使用Python做测试驱动开发（TDD）的优势。你将学到如何在开发应用的每一个部分之前先编写和运行测试，然后再编写少量的代码让测试通过。也就是说，你将学会应用TDD理念，写出简洁可用、赏心悦目的代码。在这个过程中，你还将学到Django、Selenium、Git、jQuery和Mock的基础知识，以及其他当前流行的Web开发技术。如果你准备提升自己的Python技能，本书将清楚地演示如何使用TDD实现简单的设计。通过阅读本书，你将：深入分析TDD流程，包括“单元测试/编写代码”循环和重构；使用单元测试检查类和函数，使用功能测试检查浏览器中的用户交互；学习何时以及如何使用模拟对象，以及隔离测试和整合测试的优缺点；在过渡服务器中测试和自动部署；测试网站中集成的第三方插件；使用持续集成环境自动运行测试,//product.dangdang.com/11740026120.html
 Python3网络爬虫开发实战 第2二版 崔庆才网络数据采集抓取处理分析书籍教程网络爬虫项目开发动态 ,空,//product.dangdang.com/11455675303.html
" Python机器学习经典实例 普拉提克・乔西 著,陶俊杰,陈小莉 译 人民邮电出版社 普拉提克・乔西 著,陶 人民邮电出 正版图书，下单前请先咨询客服，欢迎选购！",用火的Python语言、通过各种各样的机器学习算法来解决实际问题！,//product.dangdang.com/11740057850.html
 Python+Excel/Word/PPT一本通 编程办公软件办公自动化运维运营效率 数据分析PDF ,空,//product.dangdang.com/11455009833.html
 Python数据科学与机器学习从入门到实践 统计学习方法人工智能书籍 数据科学家实践指南推荐系统实战 ,寓复杂问题于简单实践，轻松掌握Python数据分析和机器学习技能,//product.dangdang.com/1502428605.html
 Python少儿趣味编程：海龟绘图 青少年编程语言编程入门零基础自学 少儿程序设计绘图书 官方正版 出版社直发,空,//product.dangdang.com/11171238454.html
 Python Web开发案例教程（慕课版）――使用Flask、Tornado、Django ,体系完整的慕课视频，买书送名师，实例教学，知识和实例相辅相成，有利于学生学习知识，又利于指导学生实践。,//product.dangdang.com/1660263855.html
 Python核心编程 第3版 英文版 ,空,//product.dangdang.com/686236812.html
" Python机器学习和图像处理实战：面部识别、目标检测和模式识别 (印)希曼舒・辛格(HimanshuSingh),骆铃 正版图书，下单前请先咨询客服，欢迎选购！",空,//product.dangdang.com/11738247190.html
 用Python写网络爬虫 *二2版 ,畅销的Python网络爬虫 数据抓取采集分析 开发实战图书全新升级版 针对Python 3编写 上一版年度销量近40000册 提供示例完整源码和实例网站搭建源码,//product.dangdang.com/1405959569.html
 Python数据结构与算法分析第二2版 数据结构算法入门 python语言实现 Python编程入门进阶图书 ,空,//product.dangdang.com/11455009583.html
 Python核心编程 第3版 英文版 (美) 卫斯理 春(Wesley Chun) 人民邮电出版社【达额立减】 正版图书，下单前请先咨询客服，欢迎选购！,全面涵盖当今应用开发中的众多领域为中级Python开发人员提供实践方法涵盖大量实用的代码案例每章末尾的习题有助于巩固所学知识Python是一种灵活、可靠且具有表现力的编程语言，它将编译语言的强大与脚本语言的简洁性、快速开发特性整合起来。在本书中，Python开发人员兼企业培训师Wesley Chun会帮助您将Python技能提升到更高的水平。本书涵盖了成为一名技术全面的Python开发人员所需的一切内容。本书讲解了应用开发相关的多个领域，而且书中的内容可以立即应用到项目开发中。此外，本书还包含了一些使用Python 2和Python 3编写的代码案例，以及一些代码移植技巧。有些代码片段甚至无须修改就可以运行在Python 2.x或Python 3.x上。本书讲解了如下内容：学习专业的Python风格、实践以及好的编程习惯；使用TCP、UDP、XML-RPC来开发客户端和服务器，并供高级的库（比如SocketS,//product.dangdang.com/11737804270.html
 快速上手Python：基础・进阶・实战 python开发从入门到精通，零基础学python，python自学一本通，python框架,1.本书内容全面，基础 案例 项目实战； 2.本书内容保证新版python案例，读者能够学到全新的方法和代码及案例； 3.本书配套资源非常丰富，源码 视频 电子书等； 4.本书配有读者交流群，作者答疑迅速准确，和同伴一起学习的快乐就此拥有； 5.本书双色印刷，设计细致考究；,//product.dangdang.com/29518247.html
 青少年编程魔法课堂 Python零基础入门 优质的编程启蒙读物！无界少年工作室精心编写，用通俗易懂的语言、生动形象的插图，从基础知识到竞赛真题练习，让孩子们轻松掌握Python编程基础知识，探索有趣的编程世界！,1.从基础知识开始，通过有趣的编程案例，帮助孩子们通过生活中的问题更好地理解 Python 编程的概念和原理。 2.拥有丰富海外STEM课程和编程竞赛教学经验的团队精心编写，内容清晰易懂，配合插图形象生动，适合所有想要学习编程的孩子们。 2.配有大量的竞赛实战习题，有效提高孩子的编程技能，培养逻辑思考能力和创造力，做到夯实基础、学以致用。 3.配套PPT+讲解视频，适合想要学习Python的孩子们阅读，对于想让孩子接受编程教育的家长来说，是一个不错的选择。,//product.dangdang.com/29573280.html
 青少年Python编程入门 中小学SETM创新教育图书 Python自学入门 官方正版 出版社直发,青少年Python编程入门青少年Python编程入门青少年Python编程入门青少年Python编程入门,//product.dangdang.com/1410749164.html
 Python金融量化分析 前海开源基金合伙人王宏远、前海开源量化投资总监陆琦、摩根大通前中国投资银行主席龚方雄力荐!将金融理论融入金融量化分析与交易策略设计中，结合典型案例详解趋势追踪、小市值、海龟交易和网格交易等策略的实现,前海开源基金合伙人王宏远和量化投资总监陆琦，以及摩根大通前中国投资银行主席龚方雄力荐。 将计量经济学与现代金融学理论融入金融量化分析与交易策略设计之中。 结合应用案例详解趋势追踪、小市值、海龟交易和网格交易等常用策略的实现方法。 详解金融量化分析需要掌握的大部分开源模块，包括Pandas、NumPy、TA-Lib、Empyrical、Mplfinance和Backtrader等，实现免费获取金融数据、清洗数据、存储数据和构建金融交易策略（回测）等需求。 书中的每个示例都按照 示例 实现代码 程序输出结果 程序说明 的模式进行讲解，思路清晰，易于理解。 不仅详细介绍各种常用量化交易策略代码的实现过程，而且对量化交易策略的实际回测结果给出说明，尽量避免出现 代码正确无误，而回测效果一塌糊涂 的情况。 结合208个典型示例讲解，每个示例均力求贴近实战需求，有较,//product.dangdang.com/29725692.html
 笨办法学Python 3 编程从入门到实践教程书 Python基础教程自学书籍 代码基于Python3.6 官方正版 出版社直发,适合对计算机编程了解不多，没有学过编程，但对Python编程感兴趣的读者阅读。,//product.dangdang.com/1333617569.html
 Python数据分析基础 零编程经验也可学会用Python语言进行数据分析 ,空,//product.dangdang.com/11457397213.html
 数据分析原理与实践 基于经典算法及Python编程实现 数据分析经典算法python编程实现 朝乐门老师新作 配套资源丰富,一流本科课程 数据科学导论 负责人，数据科学50人，中国人民大学青年杰出学者朝乐门老师新作。 聚焦数据分析经典算法，夯实数据分析师核心技能基础。 对算法从应用场景、算法原理、核心术语、Python编程实践、重点与难点解读、习题和主要参考文献及推荐阅读书目七个维度进行介绍，内容全面实用。,//product.dangdang.com/29440050.html
 【官方旗舰店】用图形学Python3 Python青少年趣味编程儿童Python编程入门基础自学儿童少儿编程入门教程书籍 ,儿童视频学Python程序设计从入门到精通,//product.dangdang.com/1894595538.html
 Python面向对象编程（第4版） ,空,//product.dangdang.com/29760999.html
 用Python动手学强化学习 原理与Python实现 强化学习从入门到实战精要 Python强化学习 ,空,//product.dangdang.com/673893912.html
 Python机器学习算法 ,空,//product.dangdang.com/1350065269.html
 Python数据分析基础 人民邮电出版社 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,空,//product.dangdang.com/1055222957.html
 Python程序设计(高等学校公共基础课系列教材) ,空,//product.dangdang.com/11171615094.html
 Python绝技:运用Python成为很好黑客 (美)奥科罗(TJ.O'Connor) 著;崔孝晨 等 译 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,??? 关于Python的书虽然已有不少，但从安全从业者角度多方面剖析Python的书籍几乎没有，《Python绝技：运用Python成为**黑客》填补了这个的空白：包含了渗透测试、Web分析、网络分析、取证分析以及利用无线设备等方面的Python攻防方法。 无论你是从事安全研究的哪个方向，书中的大量深入浅出的案例分析均可以让你掌握有用的技能，快速上手编写代码，在工作中事半功倍，拓展视野、培养和锻炼自己的黑客思维。,//product.dangdang.com/1091356472.html
 网络工程师的Python之路：网络运维自动化实战（第2版） Python零基础网工入门/资深网络老兵\知乎大V全新打造/内容翻倍，技术更全，可作教材/新增华为实验，可适配其他设备/提供增值服务，营造自学自驱学习氛围,★ 资深网络老兵、知乎专栏 网路行者 作者联合 网工手艺 作者全新打造 ★ 面向Python零基础网工的Go-To Book再版升级，基于Python 3.10 ★ 新增TextFSM、Netmiko、Nornir、NETCONF、RESTCONF等内容，知识点更全 ★ 从基础知识到实战应用，作者手把手教学，逐步引导，可作为教学用书 ★ 13种Python语法知识全覆盖，助力传统网工轻松转型 ★ 10余种Python网络运维相关模块，举例介绍更多实用工具 ★ 60余个实验，覆盖模拟器及真机（思科和华为设备），实用性更强 ★ 加入微信读者群，与万千网工共同学习Python知识 ★ 更有作者亲自指导，为网络工程师营造 自学自驱 学习氛围,//product.dangdang.com/29518228.html
 学Python不加班 轻松实现办公自动化 编程基础入门实践教程 Excel办公 官方正版 出版社直发,Python编程快速上手Python编程从入门到实践更适合国内职场人的内版编程书让Excel、word、PDF、PPT飞起来,//product.dangdang.com/664488202.html
 【官方旗舰店】用Python动手学统计学 统计学分析入门 Python编程从入门到实战 数据分析机器学习人工智能计算机编 官方正版 出版社直发,文科生也能学会的统计学入门书，夯实数据分析基本功！,//product.dangdang.com/654278932.html
 零基础学Python网络爬虫案例实战全流程详解（高级进阶篇） 官方正品,空,//product.dangdang.com/11744840947.html
 零基础学Python网络爬虫案例实战全流程详解（入门与提高篇） 官方正品,空,//product.dangdang.com/11744840207.html
 Python编程入门与算法进阶 Python青少年等级考试程序软件开发教程编程入门，py基础能力训练，电子学会青少年编程考试指定用书，让孩子们轻松学习Python！,1.本书适用于中国电子学会全国青少年软件编程考试Python编程一至四级，明确了该考试分级以及每一级会用到的程序模块，为中国电子学会全国青少年软件编程考试指定用书。 2.本书根据等级考试标准进行编写，明确了不同等级所涉及的知识，并对知识进行了详解，并通过解析易错点和模拟考题，让正在为编程学习头痛的你轻松掌握学习技巧。 3.本书面向青少年读者，书中列举大量接地气的生活示例，让孩子们丢掉学习包袱，看的轻松学的愉快！,//product.dangdang.com/29382153.html
 Python程序设计教程 ,Python编程，从入门到实践，配套大量实验和案例，轻轻松松学Python！,//product.dangdang.com/1609741615.html
" Python机器学习和图像处理实战：面部识别、目标检测和模式识别 (印)希曼舒・辛格(HimanshuSingh),骆铃 【正品保证，进入店铺更多优惠！】",空,//product.dangdang.com/11751275711.html
 Python新手使用Django架站的16堂课 何敏煌 清华大学出版社【达额立减】 正版图书，下单前请先咨询客服，欢迎选购！,"本书免费赠送范例网站的源码和网站文件夹结构及其文件,下载地址:pan.baidu./s/1pLIuFXp（注意区分数字和英文字母大小写）1.详细的步骤教学，按图操作，快速上手2.深入分析Django的MVC/MTV架构3.多个实用的网站开发范例，即学即用到个人网站4.从设计、规划到实践，16堂课使你轻松成为网络架站高手",//product.dangdang.com/11740052950.html
 Python科学计算 张若愚 清华大学出版社【达额立减】 正版图书，下单前请先咨询客服，欢迎选购！,编辑推荐,//product.dangdang.com/11724936874.html
 Python量化投资：技术、模型与策略 ,空,//product.dangdang.com/11745044967.html
 【旗舰店正版】 Python极客项目编程 Python编程开发Python基础教程 官方正版 出版社直发,关联推荐 开发有趣的极客项目，掌握实用的Python编程技能,//product.dangdang.com/669712782.html
 Python数据分析与数据化运营 宋天龙 著 机械工业出版社【正版书籍】 正版图书，下单前请先咨询客服，欢迎选购！,一线数据分析专家撰写，10余位互联网大咖和多个数据科学相关组织联合。50个数据工作流知识点，14个数据分析和挖掘主题，8个综合性运营案例，涵盖会员、商品、流量、内容4大数据化运营主题，360°把脉运营问题并贴合数据场景落地。,//product.dangdang.com/11740113290.html
 Python编程快速上手2：趣味小项目轻松学 python项目编程零基础自学入门教程小白 游戏编程快 官方正版 出版社直发,空,//product.dangdang.com/11274987234.html
" Python性能分析与优化 多格里奥(Fernando Doglio) 著,陶俊杰,陈小 人民邮电出版社【达额立减】 正版图书，下单前请先咨询客服，欢迎选购！",对于Python程序员来说，仅仅知道如何写代码是不够的，还要能够充分利用关键代码的处理能力。本书将讨论如何对Python代码进行性能分析，找出性能瓶颈，并通过不同的性能优化技术消除瓶颈。本书从基本的概念开始，循序渐进地介绍的优化主题。首先介绍了Python的主流性能分析器，以及用于帮助理解性能分析结果的可视化工具。然后介绍了通用的性能优化方法和专门针对Python的性能优化方法，带你浏览该语言的主要结构，让你只需做一点改变，即可迅速改善代码的性能。介绍了一些专门用于数据处理的程序库，教你如何正确地使用它们以获得杰出性能。如果你是一名Python开发者，想优化Python代码的性能，或是想进一步提升编程能力，那么本书非常适合你阅读。通过阅读本书，你将能够：掌握逐步优化代码的方法，学会使用不同的性能分析工具理解性能分析器的概,//product.dangdang.com/11725551334.html
" Python设计模式 Wessel,Badenhorst 清华大学出版社【售后无忧】 正版图书，下单前请先咨询客服，欢迎选购！",暂时没有内容,//product.dangdang.com/11738456740.html
 Python数据分析 孙洋洋 等 著 电子工业出版社【正版书籍】 正版图书，下单前请先咨询客服，欢迎选购！,适读人群 ：任何懂一点Python基础的读者，以及对Plotly可视化感兴趣的读者。 Python数据可视化的模块有很多，但传统的模块如Matplotlib等都属于静态可视化绘图，在动态的互联网时代越来越满足不了数据分析师的要求。 Plotly是一个非常棒的动态可视化绘图模块，它易学易用、种类丰富、绘图美观，在数据分析以及数据可视化中占据越来越重要的位置。 本书不仅对Plotly的基础绘图与高级绘图进行介绍，还介绍了Plotly的各种应用场景，比如在金融、Matplotlib、Pandas、网页开发、GUI开发、机器学习、量化投资等方面的应用。,//product.dangdang.com/11737691740.html
 Python Flask Web开发入门与项目实战 钱游 机械工业出版社正版图书 官方正品,【本书特色】 由浅入深：从基本开发环境配置讲起，层层深入到实际项目案例开发。 实例丰富： 116个实例、28个编程练习题带领读者上手实践。 注重实战：详解新闻系统网站项目案例开发的完整过程。 重点突出：重点介绍Flask SQLAlchemy服务端开发，以及Jinja 2模板引擎和Bootstrap前端页面开发。 涵盖广泛：涵盖Jinja 2、视图操作、数据库访问、Memcached缓存、Bootstrap等热门Web开发技术。 【本书精华内容】 第1篇 Flask基础知识 开发环境部署 Flask快速上手 Jinja2 模板引擎 Flask视图高级技术 Flask数据交互 访问数据库 Memcached缓存系统 Bootstrap的基本使用 第2篇 CMS新闻系统开发 CMS后台管理员登录实现 CMS后台文章模块基本功能实现 p strong 【本书特色】 /strong /p ol li strong 由浅入深： /strong 从基本开发环境配置讲起，层层深入到实际项目案例开发。 /li li strong 实例,//product.dangdang.com/11741355867.html
" Python参考手册 （美）比兹利 著,谢俊,杨越,高伟 译 人民邮电出版社 (美)比兹利 著,谢俊,杨越,高伟 译 人 正版图书，下单前请先咨询客服，欢迎选购！",经典著作全面升级 Python程序员案头 涵盖Python2和Python 3共有特性,//product.dangdang.com/11725008254.html
 Python数据分析 孙洋洋 电子工业出版社【放心购买】 【正品保证，进入店铺更多优惠！】,适读人群 ：任何懂一点Python基础的读者，以及对Plotly可视化感兴趣的读者。 Python数据可视化的模块有很多，但传统的模块如Matplotlib等都属于静态可视化绘图，在动态的互联网时代越来越满足不了数据分析师的要求。 Plotly是一个非常棒的动态可视化绘图模块，它易学易用、种类丰富、绘图美观，在数据分析以及数据可视化中占据越来越重要的位置。 本书不仅对Plotly的基础绘图与高级绘图进行介绍，还介绍了Plotly的各种应用场景，比如在金融、Matplotlib、Pandas、网页开发、GUI开发、机器学习、量化投资等方面的应用。,//product.dangdang.com/11750693651.html
 Python深度学习：基于TensorFlow 吴茂贵 王冬 李涛 杨本法 智能系统与技术丛书 官方正版,空,//product.dangdang.com/11745047327.html
 Python商业数据分析 ,以问题为导向，通过问题来介绍Python的使用方法。,//product.dangdang.com/1815406900.html
" Python参考手册 （美）比兹利 著,谢俊,杨越,高伟 译 人民邮电出版社 (美)比兹利 ,谢俊,杨越,高伟 人民邮电 【正品保证，进入店铺更多优惠！】",经典著作全面升级 Python程序员案头 涵盖Python2和Python 3共有特性,//product.dangdang.com/11750850991.html
 Python开发技术详解 周伟 等编著 机械工业出版社【正版书籍】 正版图书，下单前请先咨询客服，欢迎选购！,空,//product.dangdang.com/11738407340.html
 Python爬虫开发 从入门到实战 微课版 微课版Python爬虫 案例丰富 讲解详细 ,微课版Python爬虫，案例丰富，讲解详细,//product.dangdang.com/1227867015.html
 Python超入门 官方正品,空,//product.dangdang.com/11745046217.html
 Python 3网络爬虫开发实战 官方正版 出版社直发,空,//product.dangdang.com/1459772297.html
" Python机器学习和图像处理实战：面部识别、目标检测和模式识别 (印)希曼舒・辛格(HimanshuSingh),骆铃 正版图书，下单前请先咨询客服，欢迎选购！",空,//product.dangdang.com/11725379794.html
 Python数据分析与挖掘实战（第2版） 官方正版,空,//product.dangdang.com/11750156837.html
 Python程序设计基础教程 慕课版 大学教材 ,"拥有强大的配套资源，MOOC、在线作业平台、PPT课件以及课后作业答案一应俱全,真正的一站式学习。内容生动有趣，零基础也能轻松玩转Python。",//product.dangdang.com/1298256415.html
 Python程序设计基础 原书第4版 (美)托尼・加迪斯(Tony Gaddis) 机械工业出版社【正版】 【正品保证，进入店铺更多优惠！】,空,//product.dangdang.com/11732536189.html
